Date,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,TCS,INFY,WIPRO,HCLTECH,TECHM,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,APOLLOHOSP,NIFTY50
28-08-2023,767.8684082,954.8980103,552.3117065,357.2660828,988.5915527,3135.612305,1315.782104,190.8461609,1048.572632,1108.476929,1089.835083,1141.142334,1205.688232,3594.718262,4873.878906,19306.05078
29-08-2023,773.9763184,952.1431274,554.2399902,355.8193054,979.1069336,3136.169434,1317.641113,190.8695374,1058.724976,1120.873901,1084.566284,1130.848877,1206.522095,3618.315674,4847.002441,19342.65039
30-08-2023,768.3307495,943.4359131,547.0571899,354.1830139,981.7526245,3149.917236,1333.906616,190.4486084,1070.569092,1120.125488,1087.786133,1116.218872,1212.80127,3592.294434,4843.126953,19347.44922
31-08-2023,764.8022461,943.288269,541.223999,350.9602661,971.9186401,3118.194824,1334.185303,191.0098419,1072.078613,1124.569702,1084.566284,1107.940674,1233.846069,3554.004639,4783.116699,19253.80078
01-09-2023,766.3840332,953.0778198,549.1300659,353.4247131,989.539978,3139.002686,1341.992676,194.7280731,1084.563354,1148.98938,1082.029541,1102.151855,1221.876465,3551.234375,4809.197266,19435.30078
04-09-2023,771.1779785,951.7495728,554.914978,351.6487122,980.65448,3175.509277,1361.743652,203.0298157,1127.276245,1175.841675,1081.932129,1118.135254,1215.450195,3590.859863,4793.797363,19528.80078
05-09-2023,766.4813843,952.7826538,552.4563599,353.4147034,979.8557739,3185.588379,1374.570068,201.9774933,1130.065796,1173.783569,1104.372681,1102.221069,1215.54834,3603.672363,4952.419434,19574.90039
06-09-2023,776.5070801,942.0584717,550.0460205,353.2650757,963.4823608,3186.098389,1373.22229,200.7848358,1130.340088,1168.543701,1114.568359,1103.090332,1233.012085,3668.626221,5000.706543,19611.05078
07-09-2023,783.9777222,950.0770264,558.2894897,356.9966736,976.6110229,3209.647217,1362.765991,202.4451752,1146.940552,1187.536987,1105.494751,1109.382935,1225.702881,3654.824219,4996.682617,19727.05078
08-09-2023,790.0856323,954.8980103,562.5317383,357.8348083,978.7075806,3197.24585,1365.926147,201.1122437,1154.303589,1181.642578,1102.957764,1103.189209,1221.091553,3659.572998,4953.064941,19819.94922
11-09-2023,794.1738281,962.4738159,570.4859619,360.768158,998.7749634,3233.241211,1372.292847,203.3806,1172.13855,1187.16272,1109.251099,1109.116211,1223.789673,3696.625977,5063.152344,19996.34961
12-09-2023,796.6558838,974.5262451,567.2560425,361.4266968,999.2741699,3326.273193,1395.203857,203.4507599,1172.915894,1184.496094,1117.397827,1120.970459,1216.382324,3747.629395,4947.153809,19993.19922
13-09-2023,800.0626831,973.8375244,575.0656128,364.100708,1012.802185,3314.243164,1392.647949,203.7781525,1166.376465,1179.256714,1120.812866,1133.832275,1205.295654,3711.071289,4978.749023,20070
14-09-2023,799.5759888,971.7714233,575.8851318,363.4920349,1019.241638,3306.997803,1400.641235,204.1289063,1174.013672,1197.454468,1115.983276,1134.968262,1210.446533,3777.409912,5051.825684,20103.09961
15-09-2023,808.750061,976.4448242,577.3313599,361.9654846,1025.481567,3342.529053,1404.963257,206.2803497,1193.220703,1216.354126,1121.837402,1149.756348,1212.163452,3775.035645,5059.028809,20192.34961
18-09-2023,792.8354492,974.2311401,582.2967529,358.8624878,1023.085449,3349.820557,1386.560059,203.9652252,1193.586548,1206.764038,1119.739746,1131.678711,1217.118164,3745.156006,5042.48584,20133.30078
